University,Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
Universitas Sumatera Utara,1003,54242,Manajemen Sumber Daya Perairan,Aktif,S1,B,2019,13,256,01:19.7,teknik,
Universitas Sumatera Utara,1003,44201,Matematika,Aktif,S1,B,2019,14,415,01:29.6,mipa,
Universitas Sumatera Utara,1003,73201,Psikologi,Aktif,S1,B,2019,28,955,01:34.1,humaniora,
Universitas Sumatera Utara,1003,79211,Sastra Batak,Aktif,S1,B,2019,13,141,01:10.8,humaniora,
Universitas Sumatera Utara,1003,79209,Sastra Cina,Aktif,S1,B,2019,5,178,01:35.6,humaniora,
Universitas Sumatera Utara,1003,79201,Sastra Indonesia,Aktif,S1,B,2019,20,351,01:17.6,humaniora,
Universitas Sumatera Utara,1003,79204,Sastra Jepang,Aktif,S1,B,2019,8,275,01:34.4,humaniora,
Universitas Sumatera Utara,1003,79212,Sastra Melayu,Aktif,S1,B,2019,4,192,01:48.0,humaniora,
Universitas Sumatera Utara,1003,25201,Teknik Lingkungan,Aktif,S1,B,2019,13,241,01:18.5,teknik,
Universitas Sumatera Utara,1003,22201,Teknik Sipil,Aktif,S1,B,2019,24,614,01:25.6,teknik,
Universitas Sumatera Utara,1003,79214,Bahasa Mandarin,Aktif,S1,-,2019,0,0,-,humaniora,
Universitas Sam Ratulangi,1012,62201,Akuntansi,Aktif,S1,A,2019,30,1742,01:58.1,ekonomi,
Universitas Sam Ratulangi,1012,23201,Arsitektur,Aktif,S1,A,2019,31,543,01:17.5,teknik,
Universitas Sam Ratulangi,1012,46201,Biologi,Aktif,S1,A,2019,30,298,01:09.9,mipa,
Universitas Sam Ratulangi,1012,54243,Budidaya Perairan,Aktif,S1,A,2019,23,145,01:06.3,pertanian,
Universitas Sam Ratulangi,1012,60201,Ekonomi Pembangunan,Aktif,S1,A,2019,21,842,01:40.1,ekonomi,
Universitas Sam Ratulangi,1012,54241,Ilmu Kelautan,Aktif,S1,A,2019,30,442,01:14.7,teknik,
Universitas Sam Ratulangi,1012,61201,Manajemen,Aktif,S1,A,2019,54,2856,01:52.9,ekonomi,
Universitas Sam Ratulangi,1012,54246,Pemanfaatan Sumber Daya Perikanan,Aktif,S1,A,2019,18,149,01:08.3,pertanian,
Universitas Sam Ratulangi,1012,11201,Pendidikan Dokter,Aktif,S1,A,2019,85,501,01:05.9,kesehatan,
Universitas Sam Ratulangi,1012,35201,Perencanaan Wilayah Dan Kota,Aktif,S1,A,2019,7,479,02:08.4,teknik,
Universitas Sam Ratulangi,1012,54231,Peternakan,Aktif,S1,A,2019,123,953,01:07.8,pertanian,
Universitas Sam Ratulangi,1012,69201,Sosiologi,Aktif,S1,A,2019,15,236,01:15.7,sosial,
Universitas Sam Ratulangi,1012,55201,Teknik Informatika,Aktif,S1,A,2019,27,822,01:30.4,teknik,
Universitas Sam Ratulangi,1012,41201,Teknik Pertanian,Aktif,S1,A,2019,11,472,01:42.9,teknik,
Universitas Sam Ratulangi,1012,22201,Teknik Sipil,Aktif,S1,A,2019,55,892,01:16.2,teknik,
Universitas Sam Ratulangi,1012,54244,Teknologi Hasil Perikanan,Aktif,S1,A,2019,22,142,01:06.5,pertanian,
Universitas Sam Ratulangi,1012,54201,Agribisnis,Aktif,S1,B,2019,30,1125,01:37.5,pertanian,
Universitas Sam Ratulangi,1012,54245,Agrobisnis Perikanan,Aktif,S1,B,2019,16,239,01:14.9,pertanian,
Universitas Sam Ratulangi,1012,54211,Agroteknologi,Aktif,S1,B,2019,31,273,01:08.8,pertanian,
Universitas Sam Ratulangi,1012,82201,Antropologi Sosial,Aktif,S1,B,2019,9,174,01:19.3,humaniora,
Universitas Sam Ratulangi,1012,48201,Farmasi,Aktif,S1,B,2019,21,506,01:24.1,kesehatan,
Universitas Sam Ratulangi,1012,45201,Fisika,Aktif,S1,B,2019,12,125,01:10.4,mipa,
Universitas Sam Ratulangi,1012,63201,Ilmu Administrasi Negara,Aktif,S1,B,2019,19,828,01:43.6,sosial,
Universitas Sam Ratulangi,1012,63211,Ilmu Administrasi Niaga,Aktif,S1,B,2019,18,644,01:35.8,sosial,
Universitas Sam Ratulangi,1012,74201,Ilmu Hukum,Aktif,S1,B,2019,162,3688,01:22.8,humaniora,
Universitas Sam Ratulangi,1012,14201,Ilmu Keperawatan,Aktif,S1,B,2019,13,375,01:28.9,kesehatan,
Universitas Sam Ratulangi,1012,13201,Ilmu Kesehatan Masyarakat,Aktif,S1,B,2019,39,1414,01:36.3,kesehatan,
Universitas Sam Ratulangi,1012,70201,Ilmu Komunikasi,Aktif,S1,B,2019,25,614,01:24.6,sosial,
Universitas Sam Ratulangi,1012,65201,Ilmu Pemerintahan,Aktif,S1,B,2019,22,1044,01:47.5,sosial,
Universitas Sam Ratulangi,1012,71201,Ilmu Perpustakaan,Aktif,S1,B,2019,4,207,01:51.8,humaniora,
Universitas Sam Ratulangi,1012,67201,Ilmu Politik,Aktif,S1,B,2019,19,461,01:24.3,humaniora,
Universitas Sam Ratulangi,1012,80201,Ilmu Sejarah,Aktif,S1,B,2019,11,86,01:07.8,humaniora,
Universitas Sam Ratulangi,1012,54294,Ilmu Tanah,Aktif,S1,B,2019,17,86,01:05.1,mipa,
Universitas Sam Ratulangi,1012,47201,Kimia,Aktif,S1,B,2019,14,240,01:17.1,mipa,
Universitas Sam Ratulangi,1012,54242,Manajemen Sumber Daya Perairan,Aktif,S1,B,2019,25,157,01:06.3,teknik,
Universitas Sam Ratulangi,1012,44201,Matematika,Aktif,S1,B,2019,11,321,01:29.2,mipa,
Universitas Sam Ratulangi,1012,12201,Pendidikan Dokter Gigi,Aktif,S1,B,2019,13,108,01:08.3,kesehatan,
Universitas Sam Ratulangi,1012,54295,Proteksi Tanaman,Aktif,S1,B,2019,17,82,01:04.8,pertanian,
Universitas Sam Ratulangi,1012,79201,Sastra Indonesia,Aktif,S1,B,2019,9,194,01:21.6,humaniora,
Universitas Sam Ratulangi,1012,79202,Sastra Inggris,Aktif,S1,B,2019,14,1089,02:17.8,humaniora,
Universitas Sam Ratulangi,1012,79206,Sastra Jerman,Aktif,S1,B,2019,14,69,01:04.9,humaniora,
Universitas Sam Ratulangi,1012,20201,Teknik Elektro,Aktif,S1,B,2019,26,405,01:15.6,teknik,
